"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75876","54","80","-1","16","4892926000","5","917","183.0","1.0","false"
"Tcp","4","75876","54","80","-1","16","4893046000","21","5795","275.0","1.5","false"
"Tcp","4","75876","54","80","-1","16","4804148000","8","2451","306.0","1.6","false"
"Tcp","4","75877","79","21","-1","24","5895686000","5","323","64.0","1.0","false"
"Icmp","4","75877","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75878","54","80","-1","17","1833342000","6","971","161.0","1.0","false"
"Tcp","4","75878","54","80","-1","17","1620288000","9","2505","278.0","1.2857142857142858","false"
"Icmp","4","75878","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75878","54","80","-1","16","4847225000","8","2495","311.0","1.1428571428571428","false"
"Tcp","4","75878","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75878","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75878","54","80","-1","17","53265000","9","2549","283.0","1.2857142857142858","false"
"Tcp","4","75879","54","80","-1","16","4030000","2","120","60.0","2.0","false"
"Tcp","4","75879","54","80","-1","16","3945000","2","120","60.0","2.0","false"
"Icmp","4","75879","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","20","1660230000","16","4382","273.0","1.7777777777777777","false"
"Tcp","4","75880","54","80","-1","4","32000","18","4490","249.0","2.0","false"
"Tcp","4","75880","54","80","-1","4","30000","20","4598","229.0","2.2222222222222223","false"
"Tcp","4","75880","54","80","-1","4","31000","22","4706","213.0","2.4444444444444446","false"
"Tcp","4","75880","54","80","-1","4","30000","24","4814","200.0","2.6666666666666665","false"
"Tcp","4","75880","54","80","-1","4","2539000","26","4922","189.0","2.888888888888889","false"
"Tcp","4","75880","54","80","-1","4","32000","28","5030","179.0","3.111111111111111","false"
"Tcp","4","75880","54","80","-1","4","29000","30","5138","171.0","3.3333333333333335","false"
"Icmp","4","75880","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","16","66000","5","957","191.0","2.5","false"
"Tcp","4","75881","54","80","-1","16","75000","7","1065","152.0","3.5","false"
"Tcp","4","75881","54","80","-1","16","32000","9","1173","130.0","4.5","false"
"Tcp","4","75881","54","80","-1","16","62000","11","1281","116.0","5.5","false"
"Tcp","4","75881","66","80","-1","2","0","1","66","66.0","1.0","false"
"Http","4","75881","706","80","-1","24","8053000","13","2041","157.0","6.5","false"
"Http","4","75881","740","80","-1","24","2225592000","3","860","286.0","1.5","false"
"Tcp","4","75881","54","80","-1","16","3974000","2","120","60.0","2.0","false"
"Http","4","75881","694","80","-1","24","86000","3","814","271.0","3.0","false"
"Http","4","75881","687","80","-1","24","5817000","4","1493","373.0","1.3333333333333333","false"
"Http","4","75881","719","80","-1","24","8900000","14","2760","197.0","4.666666666666667","false"
"Http","4","75881","785","80","-1","24","175169000","5","2355","471.0","1.6666666666666667","false"
"Http","4","75881","837","80","-1","24","46015000","6","3192","532.0","2.0","false"
"Http","4","75881","785","80","-1","24","28003000","6","2372","395.0","2.0","false"
"Tcp","4","75882","54","80","-1","16","310269000","4","868","217.0","4.0","false"
"Tcp","4","75882","54","80","-1","16","30000","6","1601","266.0","2.0","false"
"Tcp","4","75882","54","80","-1","16","2912000","5","917","183.0","5.0","false"
"Icmp","4","75882","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75882","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75883","60","21","-1","24","5999181000","6","383","63.0","0.5454545454545454","false"
"Tcp","4","75883","54","80","-1","16","2389616000","16","3614","225.0","4.0","false"
"Tcp","4","75883","54","80","-1","16","69000","8","3300","412.0","2.0","false"
"Tcp","4","75883","54","80","-1","16","68000","10","3408","340.0","2.0","false"
"Tcp","4","75883","54","80","-1","16","32000","12","3516","293.0","2.4","false"
"Icmp","4","75884","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75885","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75885","54","80","-1","16","4691123000","6","971","161.0","1.2","false"
"Tcp","4","75886","54","80","-1","16","4694020000","7","1655","236.0","1.0","false"
"Tcp","4","75886","74","80","-1","2","0","1","74","74.0","1.0","true"
"Tcp","4","75886","66","80","-1","16","3971000","2","140","70.0","2.0","true"
"Http","4","75886","726","80","-1","24","5779000","3","866","288.0","3.0","true"
"Tcp","4","75886","66","80","-1","16","5216000","4","932","233.0","4.0","true"
"Tcp","4","75886","66","80","-1","17","5069000","5","534","106.0","5.0","true"
"Tcp","4","75887","66","80","-1","16","4023000","6","600","100.0","6.0","true"
"Http","4","75887","726","80","-1","24","8152000","3","866","288.0","3.0","true"
"Tcp","4","75887","66","80","-1","16","4536000","4","932","233.0","4.0","true"
"Http","4","75887","726","80","-1","24","2387000","3","866","288.0","3.0","true"
"Tcp","4","75887","66","80","-1","16","4026000","2","140","70.0","2.0","true"
"Tcp","4","75887","74","80","-1","2","0","1","74","74.0","1.0","true"
"Tcp","4","75887","66","80","-1","16","4005000","2","140","70.0","2.0","true"
"Tcp","4","75887","74","80","-1","2","0","1","74","74.0","1.0","true"
"Tcp","4","75888","66","80","-1","16","4027000","2","140","70.0","2.0","true"
"Http","4","75888","726","80","-1","24","2087000","3","866","288.0","1.5","true"
"Tcp","4","75888","66","80","-1","16","3985000","2","140","70.0","1.0","true"
"Tcp","4","75888","74","80","-1","2","0","1","74","74.0","0.5","true"
"Tcp","4","75888","66","80","-1","16","3993000","2","140","70.0","1.0","true"
"Http","4","75888","726","80","-1","24","1997000","3","866","288.0","1.5","true"
"Tcp","4","75888","66","80","-1","16","3930000","2","140","70.0","1.0","true"
"Tcp","4","75888","74","80","-1","2","0","1","74","74.0","0.5","true"
"Tcp","4","75888","66","80","-1","16","3964000","2","140","70.0","1.0","true"
"Tcp","4","75889","74","80","-1","2","0","1","74","74.0","0.5","true"
"Tcp","4","75889","66","80","-1","16","4012000","2","140","70.0","1.0","true"
"Tcp","4","75889","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75889","66","80","-1","16","4007000","2","140","70.0","0.6666666666666666","true"
"Tcp","4","75889","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75889","66","80","-1","16","4005000","2","140","70.0","0.6666666666666666","true"
"Tcp","4","75889","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75889","66","80","-1","16","3985000","2","140","70.0","0.6666666666666666","true"
"Tcp","4","75889","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75889","66","80","-1","16","4012000","2","140","70.0","0.6666666666666666","true"
"Tcp","4","75890","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75890","66","80","-1","16","3980000","2","140","70.0","0.6666666666666666","true"
"Tcp","4","75890","74","80","-1","2","0","1","74","74.0","0.3333333333333333","true"
"Tcp","4","75890","66","80","-1","16","4015000","2","140","70.0","0.5","true"
"Tcp","4","75890","74","80","-1","2","0","1","74","74.0","0.25","true"
"Tcp","4","75890","66","80","-1","16","3562000","2","140","70.0","0.5","true"
"Tcp","4","75890","74","80","-1","2","0","1","74","74.0","0.25","true"
"Tcp","4","75890","66","80","-1","16","4064000","2","140","70.0","0.5","true"
"Tcp","4","75890","74","80","-1","2","0","1","74","74.0","0.25","true"
"Tcp","4","75890","66","80","-1","16","4013000","2","140","70.0","0.5","true"
"Tcp","4","75891","74","80","-1","2","0","1","74","74.0","0.25","true"
"Tcp","4","75891","66","80","-1","16","3997000","2","140","70.0","0.5","true"
"Tcp","4","75891","74","80","-1","2","0","1","74","74.0","0.2","true"
"Tcp","4","75891","66","80","-1","16","3978000","2","140","70.0","0.4","true"
"Tcp","4","75891","74","80","-1","2","0","1","74","74.0","0.2","true"
"Tcp","4","75891","66","80","-1","16","3984000","2","140","70.0","0.4","true"
"Tcp","4","75891","74","80","-1","2","0","1","74","74.0","0.2","true"
"Tcp","4","75891","66","80","-1","16","4025000","2","140","70.0","0.4","true"
"Tcp","4","75891","74","80","-1","2","0","1","74","74.0","0.2","true"
"Tcp","4","75892","66","80","-1","16","3981000","2","140","70.0","0.4","true"
"Tcp","4","75892","74","80","-1","2","0","1","74","74.0","0.2","true"
"Tcp","4","75892","66","80","-1","16","4020000","2","140","70.0","0.4","true"
"Tcp","4","75892","74","80","-1","2","0","1","74","74.0","0.16666666666666666","true"
"Tcp","4","75892","66","80","-1","16","1958000","2","140","70.0","0.3333333333333333","true"
"Tcp","4","75892","74","80","-1","2","0","1","74","74.0","0.16666666666666666","true"
"Tcp","4","75892","66","80","-1","16","3904000","2","140","70.0","0.3333333333333333","true"
"Tcp","4","75892","74","80","-1","2","0","1","74","74.0","0.16666666666666666","true"
"Tcp","4","75892","66","80","-1","16","4015000","2","140","70.0","0.3333333333333333","true"
"Tcp","4","75892","74","80","-1","2","0","1","74","74.0","0.16666666666666666","true"
"Tcp","4","75893","66","80","-1","16","1674000","2","140","70.0","0.3333333333333333","true"
"Tcp","4","75893","74","80","-1","2","0","1","74","74.0","0.16666666666666666","true"
"Tcp","4","75893","66","80","-1","16","3954000","2","140","70.0","0.3333333333333333","true"
"Tcp","4","75893","74","80","-1","2","0","1","74","74.0","0.14285714285714285","true"
"Tcp","4","75893","66","80","-1","16","3997000","2","140","70.0","0.2857142857142857","true"
"Tcp","4","75893","66","80","-1","16","4027000","4","932","233.0","0.5714285714285714","true"
"Http","4","75893","726","80","-1","24","2058000","3","866","288.0","0.42857142857142855","true"
"Tcp","4","75893","66","80","-1","16","4046000","4","932","233.0","0.5714285714285714","true"
"Http","4","75893","726","80","-1","24","2043000","3","866","288.0","0.42857142857142855","true"
"Tcp","4","75894","66","80","-1","16","4041000","4","932","233.0","0.5714285714285714","true"
"Http","4","75894","726","80","-1","24","2041000","3","866","288.0","0.42857142857142855","true"
"Tcp","4","75894","66","80","-1","16","4044000","4","932","233.0","0.5714285714285714","true"
"Http","4","75894","726","80","-1","24","2033000","3","866","288.0","0.375","true"
"Tcp","4","75894","66","80","-1","16","3967000","4","932","233.0","0.5","true"
"Http","4","75894","726","80","-1","24","2054000","3","866","288.0","0.375","true"
"Tcp","4","75894","66","80","-1","16","4074000","4","932","233.0","0.5","true"
"Http","4","75894","726","80","-1","24","2029000","3","866","288.0","0.375","true"
"Tcp","4","75894","66","80","-1","16","3570000","4","932","233.0","0.5","true"
"Http","4","75894","726","80","-1","24","2563000","3","866","288.0","0.375","true"
"Tcp","4","75895","66","80","-1","16","3983000","4","932","233.0","0.5","true"
"Http","4","75895","726","80","-1","24","2038000","3","866","288.0","0.375","true"
"Tcp","4","75895","66","80","-1","16","3978000","4","932","233.0","0.5","true"
"Http","4","75895","726","80","-1","24","1525000","3","866","288.0","0.375","true"
"Tcp","4","75895","66","80","-1","16","3581000","4","932","233.0","0.4444444444444444","true"
"Http","4","75895","726","80","-1","24","3054000","3","866","288.0","0.3333333333333333","true"
"Tcp","4","75895","66","80","-1","16","3996000","4","932","233.0","0.4444444444444444","true"
"Http","4","75895","726","80","-1","24","2130000","3","866","288.0","0.3333333333333333","true"
"Tcp","4","75895","66","80","-1","16","3913000","4","932","233.0","0.4444444444444444","true"
"Http","4","75895","726","80","-1","24","2074000","3","866","288.0","0.3333333333333333","true"
"Tcp","4","75895","66","80","-1","16","3998000","4","932","233.0","0.4444444444444444","true"
"Http","4","75896","726","80","-1","24","2053000","3","866","288.0","0.3333333333333333","true"
"Tcp","4","75896","66","80","-1","16","3982000","4","932","233.0","0.4444444444444444","true"
"Http","4","75896","726","80","-1","24","2064000","3","866","288.0","0.3333333333333333","true"
"Tcp","4","75896","66","80","-1","16","4032000","4","932","233.0","0.4444444444444444","true"
"Http","4","75896","726","80","-1","24","2058000","3","866","288.0","0.3","true"
"Tcp","4","75896","66","80","-1","16","4004000","4","932","233.0","0.4","true"
"Http","4","75896","726","80","-1","24","2065000","3","866","288.0","0.3","true"
