"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Http","4","75896","726","80","-1","24","56000","198","45344","229.0","19.8","true"
"Tcp","4","75896","66","80","-1","16","58000","200","45476","227.0","20.0","true"
"Http","4","75897","726","80","-1","24","43000","202","46276","229.0","20.2","true"
"Tcp","4","75897","66","80","-1","16","57000","204","46408","227.0","18.545454545454547","true"
"Tcp","4","75897","726","80","-1","24","73000","206","47208","229.0","18.727272727272727","true"
"Tcp","4","75897","66","80","-1","16","1918000","209","47414","226.0","19.0","true"
"Http","4","75897","726","80","-1","24","55000","210","48140","229.0","19.09090909090909","true"
"Tcp","4","75897","66","80","-1","16","57000","212","48272","227.0","19.272727272727273","true"
"Http","4","75897","726","80","-1","24","73000","214","49072","229.0","19.454545454545453","true"
"Tcp","4","75897","66","80","-1","16","59000","216","49204","227.0","19.636363636363637","true"
"Http","4","75897","726","80","-1","24","3353000","219","50070","228.0","19.90909090909091","true"
"Tcp","4","75897","66","80","-1","16","1982000","220","50136","227.0","20.0","true"
"Http","4","75897","726","80","-1","24","34000","222","50936","229.0","20.181818181818183","true"
"Tcp","4","75898","66","80","-1","16","63000","224","51068","227.0","20.363636363636363","true"
"Http","4","75898","726","80","-1","24","83000","226","51868","229.0","18.833333333333332","true"
"Tcp","4","75898","66","80","-1","16","81000","228","52000","228.0","19.0","true"
"Http","4","75898","726","80","-1","24","48000","230","52800","229.0","19.166666666666668","true"
"Tcp","4","75898","66","80","-1","16","51000","232","52932","228.0","19.333333333333332","true"
"Http","4","75898","726","80","-1","24","49000","234","53732","229.0","19.5","true"
"Tcp","4","75898","66","80","-1","16","79000","236","53864","228.0","19.666666666666668","true"
